"","meanAR","maxAR","meanSD","maxSD","eigenMAF","mafAR","mafSD","pcaAR","pcaSD","eigenCOV","maxCOV","mutINFO","lake","res","method","computation"
"1",-0.120879120879121,0.0769230769230769,-0.846153846153846,-0.846153846153846,0.296703296703297,0.010989010989011,0.032967032967033,0.318681318681319,0.472527472527473,0.472527472527473,-0.252747252747253,-0.938679328162116,"Kinneret","Yearly","multivariate EWS","rolling"
"2",0.428,0.604,0.032,0.026,0.884,0.518,0.56,0.76,0.846,0.846,0.306,0,"Kinneret","Yearly","multivariate EWS","rolling"
"3",0.1,-0.433333333333333,-0.833333333333333,-0.1,-0.0333333333333333,0.05,-0.116666666666667,-0.766666666666667,-0.45,-0.45,-0.233333333333333,0.716666666666667,"Kasumigaura","Yearly","multivariate EWS","rolling"
"4",0.568,0.064,0.028,0.44,0.49,0.552,0.288,0.012,0.156,0.156,0.256,0.948,"Kasumigaura","Yearly","multivariate EWS","rolling"
"5",-0.276190476190476,-0.447619047619048,-1,-0.676190476190476,-0.466666666666667,0.161904761904762,-0.2,-0.295238095238095,0.352380952380952,0.352380952380952,-0.333333333333333,0.657142857142857,"Lower Zurich","Yearly","multivariate EWS","rolling"
"6",0.344,0.052,0,0.1,0.034,0.778,0.186,0.294,0.784,0.784,0.296,0.918,"Lower Zurich","Yearly","multivariate EWS","rolling"
"7",0.5,-0.357142857142857,-0.714285714285714,-0.285714285714286,-0.285714285714286,0.214285714285714,0.357142857142857,-0.571428571428571,0,0,-0.214285714285714,0.0714285714285714,"Mendota","Yearly","multivariate EWS","rolling"
"8",0.882,0.17,0.126,0.406,0.284,0.804,0.932,0.108,0.512,0.512,0.346,0.57,"Mendota","Yearly","multivariate EWS","rolling"
"9",-0.781818181818182,-0.636363636363636,0.272727272727273,0.163636363636364,-0.2,0.272727272727273,-0.309090909090909,0.709090909090909,0.6,0.6,0.527272727272727,NA,"Windermere","Yearly","multivariate EWS","rolling"
"10",0.02,0.024,0.666,0.622,0.242,0.92,0.098,0.962,0.926,0.926,0.912,NA,"Windermere","Yearly","multivariate EWS","rolling"
"11",0.6,-0.2,0.866666666666667,1,0.0666666666666667,-0.866666666666667,0.333333333333333,-0.2,-0.6,-0.6,-0.2,0.346410161513775,"Washington","Yearly","multivariate EWS","rolling"
"12",0.948,0.358,0.99,1,0.668,0.014,0.856,0.39,0.096,0.096,0.368,0.59919028340081,"Washington","Yearly","multivariate EWS","rolling"
"13",0.714285714285714,0.0476190476190476,-0.714285714285714,-0.80952380952381,-0.0476190476190476,-0.714285714285714,-0.0476190476190476,0.238095238095238,-0.238095238095238,-0.238095238095238,-0.238095238095238,NA,"Loch Leven","Yearly","multivariate EWS","rolling"
"14",0.968,0.596,0.136,0.076,0.516,0.014,0.444,0.702,0.358,0.358,0.32,NA,"Loch Leven","Yearly","multivariate EWS","rolling"
"15",-0.377777777777778,-0.2,-0.377777777777778,-0.155555555555556,0.555555555555556,-0.6,0.0222222222222222,0.2,0.2,0.2,0.0222222222222222,0.674199862463242,"Upper Zurich","Yearly","multivariate EWS","rolling"
"16",0.238,0.25,0.324,0.406,0.952,0.004,0.538,0.652,0.716,0.716,0.53,0.922,"Upper Zurich","Yearly","multivariate EWS","rolling"
"17",0.0476190476190476,-0.428571428571429,0.523809523809524,-0.333333333333333,0.428571428571429,0.428571428571429,0.428571428571429,-0.142857142857143,-0.333333333333333,-0.333333333333333,0.333333333333333,0.550688791753935,"Monona","Yearly","multivariate EWS","rolling"
"18",0.562,0.136,0.796,0.288,0.874,0.932,0.934,0.432,0.272,0.272,0.844,0.84,"Monona","Yearly","multivariate EWS","rolling"
"19",-0.403495512517714,-0.518752952290978,-0.626074633915919,-0.661029759093056,-0.102692489371752,-0.302031176192726,-0.29900803023146,0.16126594237128,0.671232876712329,0.671232876712329,0.223429381199811,-0.275011809163911,"Kinneret","Monthly","multivariate EWS","rolling"
"20",0.252,0.096,0.088,0.09,0.398,0.234,0.184,0.646,0.98,0.98,0.688,0.368,"Kinneret","Monthly","multivariate EWS","rolling"
"21",-0.717666258669931,-0.16891064871481,-0.446892424860601,0.0512715898272814,-0.497484020127839,-0.458316333469332,-0.185910512715898,-0.816129470964232,-0.412484700122399,-0.412484700122399,-0.297837617299062,0.832993336053312,"Kasumigaura","Monthly","multivariate EWS","rolling"
"22",0.044,0.372,0.232,0.504,0.056,0.064,0.264,0,0.162,0.162,0.284,0.994,"Kasumigaura","Monthly","multivariate EWS","rolling"
"23",-0.402575704838148,-0.429307344239471,-0.945701357466063,-0.724051514096763,0.340595916600534,0.245653271769714,0.368443835221124,0.266719572902388,0.870716398528245,0.870716398528245,-0.397763348798653,0.964937594690138,"Lower Zurich","Monthly","multivariate EWS","rolling"
"24",0.244,0.188,0,0.042,0.84,0.758,0.876,0.736,1,1,0.22,1,"Lower Zurich","Monthly","multivariate EWS","rolling"
"25",-0.034733893557423,0.130532212885154,-0.430252100840336,-0.363585434173669,-0.591596638655462,-0.59327731092437,-0.374229691876751,-0.351260504201681,-0.466106442577031,-0.466106442577031,-0.140916096073604,0.647619047619048,"Mendota","Monthly","multivariate EWS","rolling"
"26",0.48,0.604,0.212,0.26,0.018,0.012,0.138,0.16,0.15,0.15,0.382,0.89,"Mendota","Monthly","multivariate EWS","rolling"
"27",-0.49833399973344,0.0494468879115021,0.38318006130881,-0.787551646008263,-0.124350259896042,-0.151539384246301,-0.0299880047980808,-0.644942023190724,-0.711582033853125,-0.711582033853125,0.21338131414101,0.154471544715447,"Windermere","Monthly","multivariate EWS","rolling"
"28",0.216,0.518,0.696,0.006,0.392,0.37,0.49,0.022,0.016,0.016,0.672,0.57,"Windermere","Monthly","multivariate EWS","rolling"
"29",0.547755102040816,-0.582040816326531,0.72734693877551,0.570612244897959,-0.124897959183673,-0.0122448979591837,-0.338775510204082,-0.572244897959184,0.639183673469388,0.639183673469388,-0.66204081632653,0.340778679532166,"Washington","Monthly","multivariate EWS","rolling"
"30",0.834,0.062,0.938,0.85,0.388,0.496,0.158,0.07,0.948,0.948,0.038,0.688,"Washington","Monthly","multivariate EWS","rolling"
"31",0.134654818865345,0.0615174299384826,-0.383458646616541,-0.592617908407382,-0.531784005468216,-0.392344497607655,0.391660970608339,-0.186602870813397,-0.177717019822283,-0.177717019822283,-0.133971291866029,-0.654037694634703,"Loch Leven","Monthly","multivariate EWS","rolling"
